Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length
15_0df38233-c9c4-430e-b7c7-79ae0b0e32bf,11327,11492,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,14873
15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,3196,8509,LmxM.27_left_10kb - bases 201 - 10000,54.46%,5337,1,9109
15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,76,2134,LmxM.27_left_10kb - bases 201 - 10000,21.22%,8665,6586,9109
15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,2339,2938,LmxM.27_left_10kb - bases 201 - 10000,6.50%,6315,5679,9109
15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,8307,8476,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.72%,173,5,9109
15_0e75fa33-54de-4088-88e8-593b78c12155,10809,1247,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.96%,9796,1,12154
15_0e730b5e-371a-4b3a-8e01-274067342f33,10617,20362,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,28201
15_0e2244ca-df48-4fae-ab80-631d99252c52,5233,5402,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.74%,172,2,6214
15_0e2244ca-df48-4fae-ab80-631d99252c52,5229,5473,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.55%,250,1,6214
15_0e72946c-3e66-4eda-bfb4-c52560e712d4,16224,16367,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,1.50%,147,1,25122
15_00ecaa19-3182-492e-8b1f-552b884e6893,12579,22305,LmxM.24_left_10kb - bases 201 - 10000,100.00%,9800,1,41177
15_0ee5efb9-586e-4347-9216-31e09144ba07,80,3810,LmxM.23_left_10kb - bases 201 - 10000,38.73%,3798,3,4842
15_0f9b24a0-1d7f-486d-8bf0-566a3c526c1c,8827,18531,LmxM.13_left_10kb - bases 201 - 10000,99.99%,9799,1,19118
15_0f40b05b-7d14-4a87-b105-ac1d61cdbc82,81,9326,LmxM.24_left_10kb - bases 201 - 10000,95.62%,9371,1,20558
15_0f1869a1-48f0-4eb9-ba3d-93af990448ed,3209,2127,LmxM.28_left_10kb - bases 201 - 10000,11.12%,1090,1,3210
15_0fa8f9a3-d924-4265-a26a-d4fecd5abfc5,22905,23108,LmxM.27_left_10kb - bases 201 - 10000,2.06%,202,1,23484
15_1a0f225b-d1d7-4fb9-853b-608aaa4add32,13304,13479,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.79%,175,1,17465
15_1a0f225b-d1d7-4fb9-853b-608aaa4add32,5507,13420,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.72%,8107,1,17465
15_01a85da7-3d77-4693-aa7b-d04e181d09a4,22055,22145,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,22709
15_01a85da7-3d77-4693-aa7b-d04e181d09a4,22055,22253,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,22709
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,16735,26423,LmxM.19_left_10kb - bases 201 - 10000,99.97%,9797,1,26900
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,19301,20677,LmxM.19_left_10kb - bases 201 - 10000,14.12%,6346,4963,26900
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,20150,21516,LmxM.19_left_10kb - bases 201 - 10000,14.13%,7201,5817,26900
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,19301,19819,LmxM.19_left_10kb - bases 201 - 10000,5.38%,5489,4963,26900
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,21002,21516,LmxM.19_left_10kb - bases 201 - 10000,5.39%,7201,6674,26900
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,26267,26479,LmxM.27_left_10kb - bases 201 - 10000,2.21%,217,1,26900
15_1accad38-c7b3-464f-993d-3f96b7520d4f,26040,18305,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,80.38%,7877,1,26043
15_1ad9faf0-6621-4dda-b2a8-96c864a8f235,2000,1765,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,29640
15_1bacb84f-9c00-4764-83b7-3bdfccc11562,77,7612,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,77.42%,7587,1,7821
15_1bf0b540-1a7f-48c5-a02c-c0702e9f0558,69,9667,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.00%,9702,1,10180
15_1c8d22b5-9a3a-457e-9366-fbbe65a0b0ed,23584,33323,LmxM.23_left_10kb - bases 201 - 10000,100.00%,9800,1,48314
15_1c28e7a8-0176-49cd-b222-44a42f5e92ee,722,632,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,7354
15_1c956ddf-3df2-4178-bd1a-48fb4251896c,919,742,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.79%,175,1,2288
15_1c956ddf-3df2-4178-bd1a-48fb4251896c,2267,801,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,15.42%,1511,1,2288
15_1c3496e0-62c7-4acc-bcba-50ceaca47175,2164,1628,LmxM.28_left_10kb - bases 201 - 10000,5.50%,539,1,2218
15_1c765912-ab1d-4176-929d-cb353859caab,2682,2825,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.48%,172,28,3214
15_1ca81443-e1a1-41c4-bd7d-62dcfc77918b,10990,10648,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,3.57%,2616,2267,12025
15_1cd6d594-e4ef-4eec-b822-c71499998279,5423,3500,LmxM.12_left_10kb - bases 201 - 10000,20.50%,2009,1,5475
15_1cd00995-34df-4687-8bec-822e2413eef5,2911,2048,LmxM.23_left_10kb - bases 201 - 10000,8.88%,870,1,2913
15_1cd00995-34df-4687-8bec-822e2413eef5,2132,1962,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.73%,173,4,2913
15_1cd00995-34df-4687-8bec-822e2413eef5,2135,1962,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.78%,174,1,2913
15_1cdb77b0-f2fb-48ab-92e8-1a952e5dba01,38251,47888,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,55475
15_1e7cedde-ce3d-4db9-a405-ad599fbb2c1d,69,508,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,4.56%,447,1,681
15_1e7cedde-ce3d-4db9-a405-ad599fbb2c1d,350,573,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.32%,231,5,681
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,54467,54588,LmxM.12_left_10kb - bases 201 - 10000,1.24%,124,3,55143
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,54463,54592,LmxM.24_left_10kb - bases 201 - 10000,1.33%,133,4,55143
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,54468,54640,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.78%,175,2,55143
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,54459,54638,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.86%,182,1,55143
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,44842,54561,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,55143
15_1e9cd59e-c393-4446-aaf7-1c4bd3ae2589,8200,8599,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.09%,2667,2267,18408
15_1e016eea-4213-458c-9418-43f0e629a69b,25127,34848,LmxM.27_left_10kb - bases 201 - 10000,100.00%,9800,1,35309
15_1e016eea-4213-458c-9418-43f0e629a69b,34648,34815,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.72%,173,5,35309
15_1e92fff1-44b5-47fb-a6ee-6f5c52090046,6105,709,LmxM.27_left_10kb - bases 201 - 10000,55.41%,5430,1,6151
15_1e583adb-fb4b-4e99-abe3-08530da25ff6,17935,18025,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,18650
15_1e583adb-fb4b-4e99-abe3-08530da25ff6,17935,18133,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,18650
15_1e583adb-fb4b-4e99-abe3-08530da25ff6,17935,18100,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,18650
15_1eb736b2-e8f7-4a62-8fbf-1bbd396e4744,10315,19996,LmxM.13_left_10kb - bases 201 - 10000,100.00%,9800,1,20490
15_001f6b20-887f-49bd-9628-b3f3ffd8df3a,40339,40535,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,41085
15_001f6b20-887f-49bd-9628-b3f3ffd8df3a,40339,40502,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,41085
15_1f6c447f-e1b1-463f-a3e0-faf6fec79f9f,1907,1709,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,65094
15_1f177282-403d-4833-a7d2-8ab7677eefba,16319,12118,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,43.37%,4250,1,16319
15_2a6c8c82-64a2-4a8e-9b4a-c3c54f838ff4,42478,52201,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,99.83%,9798,16,52739
15_2a78f683-261f-425a-90fa-3808560b2bee,27034,36742,LmxM.24_left_10kb - bases 201 - 10000,100.00%,9800,1,48001
15_2a905d5d-06f4-466c-bbf7-e0acac9e5892,72,426,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,3.67%,360,1,544
15_2a5355ac-5b3f-4c94-8773-72b5a0278092,13652,3880,LmxM.23_left_10kb - bases 201 - 10000,100.00%,9800,1,14577
15_2a6926e8-6f01-442d-991d-9ae9ab25643f,25733,25498,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,2.40%,2675,2441,30991
15_2aa90844-1d96-476e-add5-e76418388eb3,34970,35061,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,35675
15_2aa90844-1d96-476e-add5-e76418388eb3,34970,35169,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,35675
15_2abac9e2-d7ac-48d9-9a2b-bb11d55e81a8,29810,29950,LmxM.24_left_10kb - bases 201 - 10000,1.45%,143,2,49888
15_2ac66db0-5fa7-43d8-94f4-633d56aaacbd,10362,590,LmxM.27_left_10kb - bases 201 - 10000,100.00%,9800,1,14578
15_2ae181c7-12a4-48f5-82d0-45d22b3f5b6c,3974,3775,LmxM.27_left_10kb - bases 201 - 10000,2.04%,202,3,14416
15_2b88871b-947a-4688-9f2c-8ce1e04a5988,52632,52836,LmxM.27_left_10kb - bases 201 - 10000,2.06%,202,1,53306
15_2b88871b-947a-4688-9f2c-8ce1e04a5988,52632,52806,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.78%,175,2,53306
15_2b88871b-947a-4688-9f2c-8ce1e04a5988,52682,52879,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.02%,198,1,53306
15_2b88871b-947a-4688-9f2c-8ce1e04a5988,43058,52804,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,53306
15_2ba1092c-7058-47d9-947b-1e51fcc63e7f,66,2965,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,29.60%,2901,1,3492
15_2c0faa43-1a4c-4eff-8cc4-a83f65407dfd,3366,1235,LmxM.12_left_10kb - bases 201 - 10000,21.91%,2147,1,3416
15_2cad6862-35a5-48ed-8e95-9427091be023,67,1669,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,16.44%,1611,1,2174
15_2cba7823-ac4b-4af6-a06f-1719a5e05810,10073,366,LmxM.27_left_10kb - bases 201 - 10000,99.57%,9800,43,134861
15_2cba7823-ac4b-4af6-a06f-1719a5e05810,125256,134579,LmxM.27_left_10kb - bases 201 - 10000,99.98%,9800,3,134861
15_2d8a136a-41f9-4620-ab4e-b96eca6d3932,82,6258,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,63.31%,6204,1,9997
15_2d43178e-fbab-4c8a-bd98-a67bbe8ef1ed,20028,20196,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.71%,175,8,20512
15_2d929511-523e-48a1-955b-a14be8e5abac,79,2318,LmxM.23_left_10kb - bases 201 - 10000,23.13%,2267,1,3242
15_2def0486-5dcf-4cb4-8b49-08ce24c1f500,5284,5374,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,10536
15_2def0486-5dcf-4cb4-8b49-08ce24c1f500,5284,5482,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,10536
15_2e26bff8-5ea2-4eab-842c-d35e0507e6f4,34068,43686,LmxM.12_left_10kb - bases 201 - 10000,100.00%,9800,1,66301
15_2e4558b2-7cb7-4a49-a7d5-73f9214d4a57,10728,1027,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,99.96%,9800,5,50495
15_2ebeade2-944f-49e9-a6cd-15608cfe5ecf,74,2317,LmxM.12_left_10kb - bases 201 - 10000,23.05%,2259,1,3380
15_2ed5beb2-2476-4b71-a487-8d7904753e54,39837,40029,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.96%,193,2,40598
15_2ee941fe-bff4-4030-94e9-401dccde58cf,2498,405,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,21.52%,2109,1,2549
15_2ef687a3-72c0-4d1f-a538-6e43ffca87f2,57312,66989,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,67924
15_2ef687a3-72c0-4d1f-a538-6e43ffca87f2,6078,7899,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,18.74%,7836,6000,67924
15_2ef687a3-72c0-4d1f-a538-6e43ffca87f2,21240,22482,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,12.83%,7256,6000,67924
15_2f4b6d8c-ad07-49b8-aa1e-7fd44fe1ee23,72,3819,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,38.71%,3794,1,5254
15_2f5e1fc4-9c97-4633-a98f-12682a011598,469,301,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.71%,175,8,2648
15_2f44b21b-b6e4-47ca-a9aa-3aa00d6e511a,7704,17428,LmxM.12_left_10kb - bases 201 - 10000,99.97%,9797,1,19566
15_2f86f44d-b959-4a45-bb17-ba4074930cdd,80,8348,LmxM.07_left_10kb - bases 201 - 10000,85.13%,8346,4,8839
15_2f3295a8-260e-4c3e-9725-52b9b0714198,2727,2860,LmxM.24_left_10kb - bases 201 - 10000,1.37%,135,2,13908
15_2fdc5b78-4921-479b-a704-835cce87b212,3187,3277,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,3764
15_2fdc5b78-4921-479b-a704-835cce87b212,3187,3385,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,3764
15_2fdc5b78-4921-479b-a704-835cce87b212,3187,3352,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,3764
15_3a6c8176-52bc-48e4-9f43-38061785dfdb,64007,64154,LmxM.19_left_10kb - bases 201 - 10000,1.53%,150,1,65893
15_3a6c8176-52bc-48e4-9f43-38061785dfdb,64007,64181,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.81%,177,1,65893
15_3a7b847a-fd58-4c16-b866-cf28866d459c,15583,15770,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,1.97%,193,1,16252
15_3ac8f216-7304-49cc-ba2e-a8669251f2cb,7095,7297,LmxM.27_left_10kb - bases 201 - 10000,2.04%,200,1,7761
15_3ac8f216-7304-49cc-ba2e-a8669251f2cb,7107,7337,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.38%,233,1,7761
15_3ac8f216-7304-49cc-ba2e-a8669251f2cb,77,7265,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,73.58%,7211,1,7761
15_3ad5bb7f-1756-411e-a059-a26b95a41ce0,70,4900,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,50.34%,4933,1,7929
15_3add2337-9e43-4807-8bc6-c6fd9ac89455,3978,13615,LmxM.05_left_10kb - bases 201 - 10000,100.00%,9800,1,14335
15_3aec3b6c-8c64-4349-821d-7a285a2bd460,35224,44950,LmxM.24_left_10kb - bases 201 - 10000,100.00%,9800,1,56454
15_3b0d2f26-9fb3-47ca-b70b-9b53c9a5968b,6254,15976,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,16536
15_3b0034b7-d42f-4dfe-b214-3064f40c8056,37863,38280,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.13%,2677,2273,43919
15_3b389e3b-cda3-4490-bb48-bd9deb5b3313,2956,3047,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,3356
15_03b62310-2a83-40cd-bab7-bfef82388445,21088,21248,LmxM.19_left_10kb - bases 201 - 10000,1.64%,161,1,21676
15_03b62310-2a83-40cd-bab7-bfef82388445,21087,21275,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.93%,189,1,21676
15_3bfe0ee5-ebc4-403f-8bcf-36edfd5780d8,35918,36098,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,36586
15_3bfe0ee5-ebc4-403f-8bcf-36edfd5780d8,35938,36171,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,36586
15_3c417a9d-dbc1-4778-8906-639d19f6488b,50693,60288,LmxM.12_left_10kb - bases 201 - 10000,100.00%,9800,1,83562
15_3cb35822-c9db-4282-bb12-fd6fe95c5896,20,490,LmxM.28_left_10kb - bases 201 - 10000,4.86%,476,1,8435
15_3cc22759-9c87-480f-8540-bf168c251789,6765,16531,LmxM.05_left_10kb - bases 201 - 10000,100.00%,9800,1,17009
15_3cc22759-9c87-480f-8540-bf168c251789,16465,16697,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.40%,235,1,17009
15_3d4eabc3-dfb1-4cdb-879f-bbe5176eb681,16825,7158,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,19142
15_3d5bd40e-3084-4e8c-941f-9738eb115aac,8759,8666,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,0.95%,93,1,8759
15_3d705ae2-045f-43fa-9ab0-61c883359fe5,2992,2902,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,15650
15_3d705ae2-045f-43fa-9ab0-61c883359fe5,2992,2794,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,15650
15_3d705ae2-045f-43fa-9ab0-61c883359fe5,2992,2827,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,15650
15_3dd2053e-87a0-412e-954c-f9bede514ebf,9172,699,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,87.79%,8621,19,9173
15_3de4b5dd-7b29-47e2-9700-82855417362a,26150,35853,LmxM.07_left_10kb - bases 201 - 10000,100.00%,9800,1,36319
15_3e7a66a0-e3a8-41dd-abd9-5b832da5db27,71,1054,LmxM.24_left_10kb - bases 201 - 10000,10.09%,989,1,10645
15_3e41ac47-f04d-4c37-89ed-c2b6ca52513e,29698,29771,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.77%,96,22,32479
15_3e41ac47-f04d-4c37-89ed-c2b6ca52513e,29668,29821,LmxM.12_left_10kb - bases 201 - 10000,1.58%,155,1,32479
15_3e41ac47-f04d-4c37-89ed-c2b6ca52513e,29314,29553,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,32479
15_3f8bab3a-959e-49e1-a474-e2e18ba3e905,35308,35398,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,36009
15_3fc54ddc-8285-4159-bad0-b8aa4c00eaac,10312,589,LmxM.07_left_10kb - bases 201 - 10000,100.00%,9800,1,34652
15_4a6a83ce-e6e8-44e0-8d13-e945e55a1331,10339,636,LmxM.27_left_10kb - bases 201 - 10000,100.00%,9800,1,57322
15_4b0ae85d-e849-44bd-8f51-9ac97729838d,30513,30603,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,73460
15_4b7ee65e-c716-463c-a300-60c298300e40,1062,880,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,61410
15_4b7ee65e-c716-463c-a300-60c298300e40,1042,809,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,61410
15_4bac852c-b9de-4015-94c5-ab4e00ba0190,13021,13254,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,2.38%,2675,2443,38807
15_4bca5dad-58fb-49f3-8193-17c45e54c32c,11857,12053,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,16700
15_4bca5dad-58fb-49f3-8193-17c45e54c32c,11857,12020,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,16700
15_4c1b0be2-1256-4285-93d9-df26f1285d25,2205,448,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,18.30%,1793,1,2256
15_4c80ce11-78fb-40c2-b385-7117a8c838cc,809,10472,LmxM.23_left_10kb - bases 201 - 10000,99.94%,9794,1,25197
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,10182,540,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,17539
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,9230,7170,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.48%,9707,7603,17539
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,10089,8032,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.44%,8827,6727,17539
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,8376,7170,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.52%,9707,8481,17539
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,10089,8896,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.48%,7949,6727,17539
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,7516,7170,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,3.54%,9707,9361,17539
15_4d7ed50e-50ed-4f04-be30-b89e47159c7e,6992,7084,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,7625
15_4d7ed50e-50ed-4f04-be30-b89e47159c7e,6991,7112,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,7625
15_4d7ed50e-50ed-4f04-be30-b89e47159c7e,6992,7192,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,7625
15_4dd0f0a2-0d6c-424f-b3d1-03405b112b38,11253,1525,LmxM.24_left_10kb - bases 201 - 10000,99.93%,9800,8,37476
15_4df6ea1f-6754-4c21-99b6-11e9e56b14d7,65,6044,LmxM.12_left_10kb - bases 201 - 10000,61.95%,6071,1,9633
15_4e9fbcdf-0a8b-46a0-aa1d-0659f85c704c,23952,24042,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,24623
15_4e11e357-c8d3-42f4-9882-a1feda1c4220,6952,16696,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.97%,9797,1,17220
15_4e129286-eeb0-446a-b7a4-b124b6e76bca,21047,30732,LmxM.27_left_10kb - bases 201 - 10000,100.00%,9800,1,34346
15_4ee6f9e7-3c68-478d-9495-a310977f08f3,1198,1049,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,1.56%,153,1,3181
15_4ef97cdb-c9b0-46e1-b8bc-c180d3b3dbe2,4359,2154,LmxM.28_left_10kb - bases 201 - 10000,23.21%,2290,16,4407
15_4f49483c-aea6-4db6-88bd-b51340bde446,13055,4063,LmxM.28_left_10kb - bases 201 - 10000,92.98%,9112,1,13087
15_4f127683-56e3-4dd0-9583-ad009d04fc7a,3660,426,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,33.62%,3295,1,3661
15_5a4f929d-c16b-4566-adf3-cc5b634bd38e,4094,13809,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,14363
15_5a4f929d-c16b-4566-adf3-cc5b634bd38e,13652,13875,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.32%,231,5,14363
15_5aa292aa-3b2f-4bb2-98ab-5e18ed6b71cd,21133,11414,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,28096
15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,23525,23954,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,4.38%,7728,7300,29604
15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,19291,29009,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,29604
15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,20254,22341,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.48%,9707,7603,29604
15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,19384,21471,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.46%,8827,6725,29604
