Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length,Barcode,Read,Chromosome,Overhang,Sample,ValueToSubtract,AdjustedOverhang
15_1ac15105-c650-4aef-8559-b8d1587a1ffe,16735,26423,LmxM.19_left_10kb - bases 201 - 10000,99.97,9797,1,26900,15,15_1ac15105-c650-4aef-8559-b8d1587a1ffe,19L,477.0,WT,128,349.0
15_1accad38-c7b3-464f-993d-3f96b7520d4f,26040,18305,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,80.38,7877,1,26043,15,15_1accad38-c7b3-464f-993d-3f96b7520d4f,09R,18305.0,WT,28,18277.0
15_1bacb84f-9c00-4764-83b7-3bdfccc11562,77,7612,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,77.42,7587,1,7821,15,15_1bacb84f-9c00-4764-83b7-3bdfccc11562,09R,209.0,WT,28,181.0
15_1bf0b540-1a7f-48c5-a02c-c0702e9f0558,69,9667,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.0,9702,1,10180,15,15_1bf0b540-1a7f-48c5-a02c-c0702e9f0558,31R,513.0,WT,95,418.0
15_1c8d22b5-9a3a-457e-9366-fbbe65a0b0ed,23584,33323,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,48314,15,15_1c8d22b5-9a3a-457e-9366-fbbe65a0b0ed,23L,14991.0,WT,182,14809.0
15_1cdb77b0-f2fb-48ab-92e8-1a952e5dba01,38251,47888,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,55475,15,15_1cdb77b0-f2fb-48ab-92e8-1a952e5dba01,28L,7587.0,WT,122,7465.0
15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,44842,54561,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,55143,15,15_1e8d9b5d-7cd9-49c0-85c6-cf4e5e3f9db5,23R,582.0,WT,186,396.0
15_1e016eea-4213-458c-9418-43f0e629a69b,25127,34848,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,35309,15,15_1e016eea-4213-458c-9418-43f0e629a69b,27L,461.0,WT,148,313.0
15_1e92fff1-44b5-47fb-a6ee-6f5c52090046,6105,709,LmxM.27_left_10kb - bases 201 - 10000,55.41,5430,1,6151,15,15_1e92fff1-44b5-47fb-a6ee-6f5c52090046,27L,709.0,WT,148,561.0
15_1eb736b2-e8f7-4a62-8fbf-1bbd396e4744,10315,19996,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,20490,15,15_1eb736b2-e8f7-4a62-8fbf-1bbd396e4744,13L,494.0,WT,118,376.0
15_1f177282-403d-4833-a7d2-8ab7677eefba,16319,12118,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,43.37,4250,1,16319,15,15_1f177282-403d-4833-a7d2-8ab7677eefba,09R,12118.0,WT,28,12090.0
15_2a6c8c82-64a2-4a8e-9b4a-c3c54f838ff4,42478,52201,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,99.83,9798,16,52739,15,15_2a6c8c82-64a2-4a8e-9b4a-c3c54f838ff4,34R,538.0,WT,163,375.0
15_2a78f683-261f-425a-90fa-3808560b2bee,27034,36742,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,48001,15,15_2a78f683-261f-425a-90fa-3808560b2bee,24L,11259.0,WT,148,11111.0
15_2a5355ac-5b3f-4c94-8773-72b5a0278092,13652,3880,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,14577,15,15_2a5355ac-5b3f-4c94-8773-72b5a0278092,23L,3880.0,WT,182,3698.0
15_2ac66db0-5fa7-43d8-94f4-633d56aaacbd,10362,590,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,14578,15,15_2ac66db0-5fa7-43d8-94f4-633d56aaacbd,27L,590.0,WT,148,442.0
15_2b88871b-947a-4688-9f2c-8ce1e04a5988,43058,52804,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,53306,15,15_2b88871b-947a-4688-9f2c-8ce1e04a5988,15R,502.0,WT,136,366.0
15_2d8a136a-41f9-4620-ab4e-b96eca6d3932,82,6258,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,63.31,6204,1,9997,15,15_2d8a136a-41f9-4620-ab4e-b96eca6d3932,09R,3739.0,WT,28,3711.0
15_2e26bff8-5ea2-4eab-842c-d35e0507e6f4,34068,43686,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,66301,15,15_2e26bff8-5ea2-4eab-842c-d35e0507e6f4,12L,22615.0,WT,168,22447.0
15_2e4558b2-7cb7-4a49-a7d5-73f9214d4a57,10728,1027,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,99.96,9800,5,50495,15,15_2e4558b2-7cb7-4a49-a7d5-73f9214d4a57,09R,1027.0,WT,28,999.0
15_2ef687a3-72c0-4d1f-a538-6e43ffca87f2,57312,66989,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,67924,15,15_2ef687a3-72c0-4d1f-a538-6e43ffca87f2,12R,935.0,WT,133,802.0
15_2f4b6d8c-ad07-49b8-aa1e-7fd44fe1ee23,72,3819,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,38.71,3794,1,5254,15,15_2f4b6d8c-ad07-49b8-aa1e-7fd44fe1ee23,09R,1435.0,WT,28,1407.0
15_2f44b21b-b6e4-47ca-a9aa-3aa00d6e511a,7704,17428,LmxM.12_left_10kb - bases 201 - 10000,99.97,9797,1,19566,15,15_2f44b21b-b6e4-47ca-a9aa-3aa00d6e511a,12L,2138.0,WT,168,1970.0
15_2f86f44d-b959-4a45-bb17-ba4074930cdd,80,8348,LmxM.07_left_10kb - bases 201 - 10000,85.13,8346,4,8839,15,15_2f86f44d-b959-4a45-bb17-ba4074930cdd,07L,491.0,WT,58,433.0
15_3ac8f216-7304-49cc-ba2e-a8669251f2cb,77,7265,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,73.58,7211,1,7761,15,15_3ac8f216-7304-49cc-ba2e-a8669251f2cb,15R,496.0,WT,136,360.0
15_3ad5bb7f-1756-411e-a059-a26b95a41ce0,70,4900,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,50.34,4933,1,7929,15,15_3ad5bb7f-1756-411e-a059-a26b95a41ce0,09R,3029.0,WT,28,3001.0
15_3add2337-9e43-4807-8bc6-c6fd9ac89455,3978,13615,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,14335,15,15_3add2337-9e43-4807-8bc6-c6fd9ac89455,05L,720.0,WT,167,553.0
15_3aec3b6c-8c64-4349-821d-7a285a2bd460,35224,44950,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,56454,15,15_3aec3b6c-8c64-4349-821d-7a285a2bd460,24L,11504.0,WT,148,11356.0
15_3b0d2f26-9fb3-47ca-b70b-9b53c9a5968b,6254,15976,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,16536,15,15_3b0d2f26-9fb3-47ca-b70b-9b53c9a5968b,34R,560.0,WT,163,397.0
15_3c417a9d-dbc1-4778-8906-639d19f6488b,50693,60288,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,83562,15,15_3c417a9d-dbc1-4778-8906-639d19f6488b,12L,23274.0,WT,168,23106.0
15_3cc22759-9c87-480f-8540-bf168c251789,6765,16531,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,17009,15,15_3cc22759-9c87-480f-8540-bf168c251789,05L,478.0,WT,167,311.0
15_3d4eabc3-dfb1-4cdb-879f-bbe5176eb681,16825,7158,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,19142,15,15_3d4eabc3-dfb1-4cdb-879f-bbe5176eb681,09R,7158.0,WT,28,7130.0
15_3dd2053e-87a0-412e-954c-f9bede514ebf,9172,699,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,87.79,8621,19,9173,15,15_3dd2053e-87a0-412e-954c-f9bede514ebf,15R,699.0,WT,136,563.0
15_3de4b5dd-7b29-47e2-9700-82855417362a,26150,35853,LmxM.07_left_10kb - bases 201 - 10000,100.0,9800,1,36319,15,15_3de4b5dd-7b29-47e2-9700-82855417362a,07L,466.0,WT,58,408.0
15_3fc54ddc-8285-4159-bad0-b8aa4c00eaac,10312,589,LmxM.07_left_10kb - bases 201 - 10000,100.0,9800,1,34652,15,15_3fc54ddc-8285-4159-bad0-b8aa4c00eaac,07L,589.0,WT,58,531.0
15_4a6a83ce-e6e8-44e0-8d13-e945e55a1331,10339,636,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,57322,15,15_4a6a83ce-e6e8-44e0-8d13-e945e55a1331,27L,636.0,WT,148,488.0
15_4c80ce11-78fb-40c2-b385-7117a8c838cc,809,10472,LmxM.23_left_10kb - bases 201 - 10000,99.94,9794,1,25197,15,15_4c80ce11-78fb-40c2-b385-7117a8c838cc,23L,14725.0,WT,182,14543.0
15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,10182,540,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,17539,15,15_4cb92621-61e7-4400-a8b9-7ff5d75295fd,18R,540.0,WT,186,354.0
15_4dd0f0a2-0d6c-424f-b3d1-03405b112b38,11253,1525,LmxM.24_left_10kb - bases 201 - 10000,99.93,9800,8,37476,15,15_4dd0f0a2-0d6c-424f-b3d1-03405b112b38,24L,1525.0,WT,148,1377.0
15_4df6ea1f-6754-4c21-99b6-11e9e56b14d7,65,6044,LmxM.12_left_10kb - bases 201 - 10000,61.95,6071,1,9633,15,15_4df6ea1f-6754-4c21-99b6-11e9e56b14d7,12L,3589.0,WT,168,3421.0
15_4e11e357-c8d3-42f4-9882-a1feda1c4220,6952,16696,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.97,9797,1,17220,15,15_4e11e357-c8d3-42f4-9882-a1feda1c4220,12R,524.0,WT,133,391.0
15_4e129286-eeb0-446a-b7a4-b124b6e76bca,21047,30732,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,34346,15,15_4e129286-eeb0-446a-b7a4-b124b6e76bca,27L,3614.0,WT,148,3466.0
15_4f49483c-aea6-4db6-88bd-b51340bde446,13055,4063,LmxM.28_left_10kb - bases 201 - 10000,92.98,9112,1,13087,15,15_4f49483c-aea6-4db6-88bd-b51340bde446,28L,4063.0,WT,122,3941.0
15_4f127683-56e3-4dd0-9583-ad009d04fc7a,3660,426,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,33.62,3295,1,3661,15,15_4f127683-56e3-4dd0-9583-ad009d04fc7a,34R,426.0,WT,163,263.0
15_5a4f929d-c16b-4566-adf3-cc5b634bd38e,4094,13809,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,14363,15,15_5a4f929d-c16b-4566-adf3-cc5b634bd38e,03R,554.0,WT,96,458.0
15_5aa292aa-3b2f-4bb2-98ab-5e18ed6b71cd,21133,11414,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,28096,15,15_5aa292aa-3b2f-4bb2-98ab-5e18ed6b71cd,28L,11414.0,WT,122,11292.0
15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,19291,29009,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,29604,15,15_5ababae0-a899-4ef2-81ac-d65f43b59cc1,18R,595.0,WT,186,409.0
15_5af0814e-8778-48da-a634-808603caeeb8,62,8240,LmxM.19_left_10kb - bases 201 - 10000,84.42,8273,1,8691,15,15_5af0814e-8778-48da-a634-808603caeeb8,19L,451.0,WT,128,323.0
15_5b909f9d-d2fd-4d74-b380-cdeac4c21f0d,60,8594,LmxM.28_left_10kb - bases 201 - 10000,88.13,8637,1,18710,15,15_5b909f9d-d2fd-4d74-b380-cdeac4c21f0d,28L,10116.0,WT,122,9994.0
15_005bb7e7-6de8-45c0-8320-99b1ba241f99,3635,242,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,34.99,3429,1,3689,15,15_005bb7e7-6de8-45c0-8320-99b1ba241f99,09R,242.0,WT,28,214.0
15_005d67ee-c4d1-4f22-a161-17db0dc68bb1,16866,7167,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,74452,15,15_005d67ee-c4d1-4f22-a161-17db0dc68bb1,19L,7167.0,WT,128,7039.0
15_5d252d62-d7b0-4336-85f8-20e362709797,66,7398,LmxM.01_left_10kb - bases 201 - 10000,75.39,7388,1,8047,15,15_5d252d62-d7b0-4336-85f8-20e362709797,01L,649.0,WT,114,535.0
15_5db45942-191e-48cd-82ce-259b483eee11,70,7440,LmxM.07_left_10kb - bases 201 - 10000,75.48,7397,1,8137,15,15_5db45942-191e-48cd-82ce-259b483eee11,07L,697.0,WT,58,639.0
15_5e02f5de-fb4a-4c99-a431-a72bfac5f054,5021,14651,LmxM.28_left_10kb - bases 201 - 10000,99.88,9800,13,17028,15,15_5e02f5de-fb4a-4c99-a431-a72bfac5f054,28L,2377.0,WT,122,2255.0
15_5e8e3de3-57b5-4e52-82c4-2fe3be664542,74,3196,LmxM.07_left_10kb - bases 201 - 10000,32.35,3170,1,3594,15,15_5e8e3de3-57b5-4e52-82c4-2fe3be664542,07L,398.0,WT,58,340.0
15_5e31855f-2aa9-4db0-9485-109cb4b6638b,71,4671,LmxM.27_left_10kb - bases 201 - 10000,47.09,4615,1,5029,15,15_5e31855f-2aa9-4db0-9485-109cb4b6638b,27L,358.0,WT,148,210.0
15_5eadcbba-31da-4da3-984e-fa01c3e56703,80,4402,LmxM.24_left_10kb - bases 201 - 10000,44.92,4402,1,13411,15,15_5eadcbba-31da-4da3-984e-fa01c3e56703,24L,9009.0,WT,148,8861.0
15_5f86e6dc-528a-4495-8cf3-fb87082db417,5394,594,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,49.4,4841,1,5395,15,15_5f86e6dc-528a-4495-8cf3-fb87082db417,16R,594.0,WT,168,426.0
15_6accda7a-6841-480f-bb9c-a589f6df6f3e,10938,6298,LmxM.24_left_10kb - bases 201 - 10000,47.93,4697,1,10990,15,15_6accda7a-6841-480f-bb9c-a589f6df6f3e,24L,6298.0,WT,148,6150.0
15_6bf8ab01-d042-43c6-b530-11f99db23a3c,78300,88031,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,88543,15,15_6bf8ab01-d042-43c6-b530-11f99db23a3c,23R,512.0,WT,186,326.0
15_6bffd05a-9454-454f-b16f-4f2a5e7d2255,15832,6188,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,99.99,9800,2,24899,15,15_6bffd05a-9454-454f-b16f-4f2a5e7d2255,09R,6188.0,WT,28,6160.0
15_6c0c5821-3e54-4e19-9ccb-b8903654f68b,5584,340,LmxM.07_left_10kb - bases 201 - 10000,53.85,5277,1,5587,15,15_6c0c5821-3e54-4e19-9ccb-b8903654f68b,07L,340.0,WT,58,282.0
15_006c5543-dce2-46cf-af68-a43ea4de81ea,74,7651,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,77.88,7632,1,10072,15,15_006c5543-dce2-46cf-af68-a43ea4de81ea,09R,2421.0,WT,28,2393.0
15_6d70ddfa-7e04-46f4-8a21-0e2052186dec,68,8484,LmxM.12_left_10kb - bases 201 - 10000,86.59,8486,1,14178,15,15_6d70ddfa-7e04-46f4-8a21-0e2052186dec,12L,5694.0,WT,168,5526.0
15_6d536e73-16f4-4259-a935-566d673abb2a,1359,11040,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,99.99,9800,2,11640,15,15_6d536e73-16f4-4259-a935-566d673abb2a,34R,600.0,WT,163,437.0
15_6ddde6cc-1dc6-45e4-a42c-c13353a4cba3,19638,29241,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,48512,15,15_6ddde6cc-1dc6-45e4-a42c-c13353a4cba3,09R,19271.0,WT,28,19243.0
15_6edcde73-042f-44dd-b671-66c41edcda3f,15534,25288,LmxM.19_left_10kb - bases 201 - 10000,100.0,9800,1,25921,15,15_6edcde73-042f-44dd-b671-66c41edcda3f,19L,633.0,WT,128,505.0
15_7a26f8a4-2618-4664-af72-2d634a622995,78,7816,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,79.76,7816,1,8358,15,15_7a26f8a4-2618-4664-af72-2d634a622995,12R,542.0,WT,133,409.0
15_7abe0e0d-e8ca-4cf3-b490-a3896b63c6c4,13583,6861,LmxM.23_left_10kb - bases 201 - 10000,69.05,6767,1,13587,15,15_7abe0e0d-e8ca-4cf3-b490-a3896b63c6c4,23L,6861.0,WT,182,6679.0
15_7ba0ec6c-7678-44ca-b6b1-d61ebf9b421a,3825,453,LmxM.23_left_10kb - bases 201 - 10000,35.27,3456,1,3830,15,15_7ba0ec6c-7678-44ca-b6b1-d61ebf9b421a,23L,453.0,WT,182,271.0
15_7c9cb14d-86bd-4921-8bfa-97dbf3c43caf,70,6782,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,69.63,6824,1,7287,15,15_7c9cb14d-86bd-4921-8bfa-97dbf3c43caf,18R,505.0,WT,186,319.0
15_7c10418c-5a82-4434-8672-0d70033368db,10665,1033,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.96,9796,1,67205,15,15_7c10418c-5a82-4434-8672-0d70033368db,12R,1033.0,WT,133,900.0
15_7d2eec0b-994f-4aeb-8106-436ee0d44e01,11680,21315,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,21914,15,15_7d2eec0b-994f-4aeb-8106-436ee0d44e01,13L,599.0,WT,118,481.0
15_07ef09ba-89cc-4d89-a103-4b78496b15d5,13544,4182,LmxM.24_left_10kb - bases 201 - 10000,99.91,9795,5,14666,15,15_07ef09ba-89cc-4d89-a103-4b78496b15d5,24L,4182.0,WT,148,4034.0
15_7effc551-6b3e-4a16-92c2-fcc4908c209b,11951,2350,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,13132,15,15_7effc551-6b3e-4a16-92c2-fcc4908c209b,23L,2350.0,WT,182,2168.0
15_7f8c0e37-b986-4bf6-934d-c68ee7ab5db6,8422,18142,LmxM.27_left_10kb - bases 201 - 10000,100.0,9800,1,18546,15,15_7f8c0e37-b986-4bf6-934d-c68ee7ab5db6,27L,404.0,WT,148,256.0
15_7f208c10-0f33-4f2d-b9ca-7b48a8455d24,30691,40464,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,41091,15,15_7f208c10-0f33-4f2d-b9ca-7b48a8455d24,31R,627.0,WT,95,532.0
15_7fd3abd4-cae0-4ce9-9b73-520b57eac3ef,15186,24808,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,49290,15,15_7fd3abd4-cae0-4ce9-9b73-520b57eac3ef,09R,24482.0,WT,28,24454.0
15_8a4e3fa3-da4f-4497-85a1-c8bb50d43653,5957,15656,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,27179,15,15_8a4e3fa3-da4f-4497-85a1-c8bb50d43653,23L,11523.0,WT,182,11341.0
15_8ab4be97-2c21-4867-bee5-01f67d9ce064,18366,8655,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,28520,15,15_8ab4be97-2c21-4867-bee5-01f67d9ce064,09R,8655.0,WT,28,8627.0
15_8ceb6108-3f68-4f6c-a762-afac78438028,9504,780,LmxM.05_left_10kb - bases 201 - 10000,89.71,8792,1,9509,15,15_8ceb6108-3f68-4f6c-a762-afac78438028,05L,780.0,WT,167,613.0
15_8d3c9541-ca2c-4e6d-aa0c-8c4908b49eae,6370,1969,LmxM.24_left_10kb - bases 201 - 10000,46.17,4537,13,6419,15,15_8d3c9541-ca2c-4e6d-aa0c-8c4908b49eae,24L,1969.0,WT,148,1821.0
15_8d8449b8-4c6c-4aeb-9956-d6d02d991f2b,14826,9356,LmxM.28_left_10kb - bases 201 - 10000,56.42,5529,1,14826,15,15_8d8449b8-4c6c-4aeb-9956-d6d02d991f2b,28L,9356.0,WT,122,9234.0
15_8e55aba2-6a8f-4030-8c96-fc4453239c3c,10409,659,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,99.96,9800,5,15699,15,15_8e55aba2-6a8f-4030-8c96-fc4453239c3c,03R,659.0,WT,96,563.0
15_8f55ab85-5ec4-4903-953c-fab035be8ef4,701,10373,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,10882,15,15_8f55ab85-5ec4-4903-953c-fab035be8ef4,05L,509.0,WT,167,342.0
15_9aac58fa-b389-4dcb-93de-30733796ae18,84939,94627,LmxM.14_left_10kb - bases 201 - 10000,99.77,9800,24,99669,15,15_9aac58fa-b389-4dcb-93de-30733796ae18,14L,5042.0,WT,129,4913.0
15_9af24ba8-68d5-45f8-9c64-0358ab8b88b2,26708,36380,LmxM.07_left_10kb - bases 201 - 10000,100.0,9800,1,36734,15,15_9af24ba8-68d5-45f8-9c64-0358ab8b88b2,07L,354.0,WT,58,296.0
15_9d52b458-a5e1-4dee-b523-beb4cd68db71,24548,14870,LmxM.12_left_10kb - bases 201 - 10000,100.0,9800,1,61963,15,15_9d52b458-a5e1-4dee-b523-beb4cd68db71,12L,14870.0,WT,168,14702.0
15_9db8fa08-f7b6-4b66-ba08-cc66c975943b,14597,5063,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,23039,15,15_9db8fa08-f7b6-4b66-ba08-cc66c975943b,28L,5063.0,WT,122,4941.0
15_11f13bea-f11a-46d4-b329-fec0585c0b4c,26457,36174,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,55124,15,15_11f13bea-f11a-46d4-b329-fec0585c0b4c,24L,18950.0,WT,148,18802.0
15_13a8032a-4b22-45d6-a720-0350931cd99a,3804,13478,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,99.99,9800,2,13943,15,15_13a8032a-4b22-45d6-a720-0350931cd99a,18R,465.0,WT,186,279.0
15_20fcc17d-b269-411a-b3f9-398d211f8380,79,5409,LmxM.23_left_10kb - bases 201 - 10000,54.94,5384,1,8777,15,15_20fcc17d-b269-411a-b3f9-398d211f8380,23L,3368.0,WT,182,3186.0
15_23e24a6f-61a3-47cc-bf63-56d7e1f98988,73,6298,LmxM.28_left_10kb - bases 201 - 10000,63.69,6242,1,24966,15,15_23e24a6f-61a3-47cc-bf63-56d7e1f98988,28L,18668.0,WT,122,18546.0
15_24ae0d24-f84b-4caf-add9-c48a12a8176d,15079,24801,LmxM.13_left_10kb - bases 201 - 10000,100.0,9800,1,25422,15,15_24ae0d24-f84b-4caf-add9-c48a12a8176d,13L,621.0,WT,118,503.0
15_25b8b731-6093-42c4-98a1-6311861fdd5f,2251,11865,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,14744,15,15_25b8b731-6093-42c4-98a1-6311861fdd5f,24L,2879.0,WT,148,2731.0
15_25d99e32-a72b-4eb5-b2f1-89c22a436acb,34873,25126,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.0,9800,1,94816,15,15_25d99e32-a72b-4eb5-b2f1-89c22a436acb,09R,25126.0,WT,28,25098.0
15_26e76184-75db-4238-921a-b0ff557cdac0,32648,42408,LmxM.23_left_10kb - bases 201 - 10000,100.0,9800,1,59448,15,15_26e76184-75db-4238-921a-b0ff557cdac0,23L,17040.0,WT,182,16858.0
15_27e79dfa-e7fc-4475-b759-1ca1586edb3f,4350,1222,LmxM.28_left_10kb - bases 201 - 10000,32.93,3233,7,4353,15,15_27e79dfa-e7fc-4475-b759-1ca1586edb3f,28L,1222.0,WT,122,1100.0
15_30b42a3f-9f25-4906-add3-ac1410774267,12109,21871,LmxM.33_left_10kb - bases 201 - 10000,100.0,9800,1,22256,15,15_30b42a3f-9f25-4906-add3-ac1410774267,33L,385.0,WT,85,300.0
15_30f1f7cb-2f99-4af1-8237-6aa386479406,1510,11188,LmxM.23_left_10kb - bases 201 - 10000,99.98,9800,3,25896,15,15_30f1f7cb-2f99-4af1-8237-6aa386479406,23L,14708.0,WT,182,14526.0
15_32dea28a-397b-4e9c-9e5e-7b117f608a31,20367,30055,LmxM.05_left_10kb - bases 201 - 10000,100.0,9800,1,30632,15,15_32dea28a-397b-4e9c-9e5e-7b117f608a31,05L,577.0,WT,167,410.0
15_32f29279-1ce6-4f5d-bf23-c520d0ff0c96,7179,198,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,71.93,7049,1,7227,15,15_32f29279-1ce6-4f5d-bf23-c520d0ff0c96,03R,198.0,WT,96,102.0
15_33e6dd02-4dc9-4d00-ab6f-fdfa3bbfdcb3,74,6165,LmxM.24_left_10kb - bases 201 - 10000,62.79,6153,1,7136,15,15_33e6dd02-4dc9-4d00-ab6f-fdfa3bbfdcb3,24L,971.0,WT,148,823.0
15_35f120de-c230-4ae2-ad89-96de3911091d,11831,2147,LmxM.01_left_10kb - bases 201 - 10000,100.0,9800,1,62837,15,15_35f120de-c230-4ae2-ad89-96de3911091d,01L,2147.0,WT,114,2033.0
